time,L1_J1,L1_J2,L1_J3,L4_J1,L4_J2,L4_J3
3.0019469261169434,3.5741256780247146,-3.320716014884825,-2.2289279007543827,0.06914274791218757,-1.1313623202404368,-0.7989156554769515
3.008575439453125,3.5981235219960417,-3.2752477032059186,-2.201456840795021,0.0760677854583946,-1.0826733321603559,-0.7654805281008927
3.0153379440307617,3.3627587803558496,-3.050978362498332,-2.061880415400119,0.02438821944429295,-1.015182148150042,-0.7188100552051498
3.0225701332092285,2.6432212154556014,-1.0124407688909003,-0.7720927695840055,-0.05498317817923321,-0.7910992545178671,-0.5680270403838986
3.0292131900787354,2.4464093481303038,-2.4750464893496567,-1.704693465634247,-0.11341137728190206,-0.6109923665892067,-0.447047672339033
3.035651922225952,2.468273073611781,-2.5277339459165185,-1.7411473855030017,-0.12713160067502013,-0.5226643934269499,-0.3870940797396633
3.042141914367676,2.495407973342533,-1.3579294375541109,-1.0010005378359406,-0.12485412692043804,-0.48174750145432854,-0.35847293958263987
3.0489649772644043,2.4892722076252767,-2.3326969379864635,-1.622254217951095,-0.1287848226793571,-0.4264632938614956,-0.3203336183834731
3.0561835765838623,2.487567763891733,-1.5691048180352742,-1.1404309603709921,-0.16351007240886606,-0.3367807858819145,-0.25943183596316854
3.0633013248443604,2.3565564422416,-2.0741634163545366,-1.46258886689048,-0.20022284011071492,-0.27775115161337294,-0.2186343254106096
3.0703601837158203,2.342349668591678,-1.2895129840409876,-0.9674406555373805,-0.19372355457069737,-0.22571445776237833,-0.18260616461872278
3.076908826828003,2.355552601257371,-2.0812702628855275,-1.4709235024964356,-0.17969134288370067,-0.1860857673901018,-0.15482976340328486
3.083880662918091,3.3461676600423433,-2.651585511039871,-1.8302350576748085,-0.2702548805150378,-0.30301129236808877,-0.23185323156567675
3.091261148452759,3.2511633894946907,-2.6508147398581556,-1.829551474599818,-0.30646131010343325,-0.3302103762999222,-0.2480058038817396
3.1001691818237305,3.178554599122193,-2.460374748900858,-1.7091044741530501,-0.3270521525301821,-0.3480305261126882,-0.2579831699004639
3.107557773590088,3.2018548362968637,-2.2951025417051816,-1.603950634614876,-0.3364707984833706,-0.3698769990145628,-0.27086831589999655
3.116345167160034,3.2456534634660548,-2.2940523060055664,-1.6027770140734185,-0.33501802123878305,-0.3611767289296583,-0.26310692148178433
3.123934268951416,3.222716130823936,-2.2792351250592255,-1.5929282570424177,-0.35592184431187407,-0.36912744845522183,-0.2667608730957567
3.130972385406494,3.2054197161448013,-2.2552354933972247,-1.5778599781159017,-0.37254417173724286,-0.3550167897470871,-0.25582300261772595
3.1392738819122314,3.2247173254927297,-2.2281345326315702,-1.5609954409570501,-0.3701422088874857,-0.37731595467934215,-0.2688961172281224
3.147512197494507,3.2327028905087554,-2.1966379340020006,-1.5413184988299706,-0.3693528623370522,-0.37223497023254615,-0.2633371223159741
3.1568591594696045,3.2509863583775855,-2.103305538262203,-1.482746658011258,-0.12458556859661497,-0.4225771812295376,-0.2950236990891021
3.164289951324463,3.169984912455948,-2.178032687544382,-1.5297667216411073,-0.08115762736625871,-0.2830248222799196,-0.20162100548487108
3.1711974143981934,3.1834538502413654,-2.2511067375099456,-1.5756675809941445,-0.0781211605296928,-0.20910382805913388,-0.15148422069335363
3.1832098960876465,3.215553134238183,-2.3103145862110193,-1.6135711395258707,-0.04997491630246719,-0.12311051593143456,-0.09213512148342881
3.1906421184539795,3.2243733140656157,-2.3266892669708223,-1.623913096947538,-0.005792666509402122,-0.103274662826082,-0.07756312520430778
3.19989275932312,3.2332006415198142,-2.320617973312084,-1.620435502767969,0.027453951308882042,-0.07550229180437533,-0.057390734646020014
